Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
50 Staniford,Yes,Medical Office,50 Staniford Street,02114," 193,230 ",77,64,,Medical Office,1974," 1,270.7 ",6.6," 14,871,392.6 ",100.0%,,,21.9,,,,00470000,"2017, "
Shriners Hospitals for Children - Boston,Yes,Other - Specialty Hospital,51 Blossom,02114," 270,000 ",217.3,Not Available,,"Other - Specialty Hospital, Parking",1999," 4,356.5 ",16.1," 58,678,383.2 ",41.2%,,58.8%,22.7,,,,300600000,"2014, 2015, 2016, 2017, "
PHS-MGH Main Campus,Yes,Hospital (General Medical & Surgical),55 Fruit St.,02114," 3,912,529 ",249.1,20,,"Hospital (General Medical & Surgical), Parking",1811," 21,589.2 ",5.5," 974,754,814.8 ",41.5%,0.4%,58.1%,24.8,,,,0300370000 0300445000 0300445001 0300370000,"2014, 2015, 2016, 2017, "
CO/GLC 6123006/6 BOWDOIN SQ/BOSTON/MA,Yes,Office,6 BOWDOIN SQ,02114," 223,538 ",165.8,3,,Office,1931," 2,880.9 ",12.9," 37,068,162.0 ",76.1%,23.9%,,16.4,,,,0302628000,"2015, 2016, 2017, "
Andrew Dutton Co,Yes,Office,60 Canal St,02114," 47,040 ",53.4,95,,Office,1895, 174.5 ,3.7," 2,509,747.9 ",50.8%,49.2%,,4.3,,,,301611000,"2016, 2017, "
Regina Cleri,Yes,Senior Care Community,60 Wm. Cardinal O'Connell Way,02114," 72,000 ",105.8,58,,Senior Care Community,1964, 403.6 ,6.5," 6,607,284.8 ",24.7%,75.3%,,33.0,,,,0300618000,"2015, 2016, 2017, "
Amy Lowell House: 65 Martha Road,Yes,Multifamily Housing,65 Martha Rd,02114," 115,000 ",76.5,6,,Multifamily Housing,1975, 682.4 ,5.9," 8,797,601.9 ",75.6%,24.4%,,40.0,,,,0300465000,"2016, 2017, "
67 91 N Washington Street,Yes,Office,77 North Washington Street,02114," 120,000 ",2.4,Not Available,,Office,1900, 24.2 ,0.2," 283,312.0 ",100.0%,,,1.0,,,,301509000,"2017, "
90 Canal St,Yes,Office,90 Canal St,02114," 84,000 ",Not Available,Not Available,,Office,1910, -   ,0.0, Not Available ,,,,,,,,301619000,"2017, "
98 N. Washington Street,Yes,Office,98 N. Washington Street,02114," 80,528 ",17.8,100,,"Office, Parking",1986, 103.2 ,1.3," 1,433,997.3 ",58.3%,41.7%,,,,,,0301518000,"2015, 2016, 2017, "
One Bowdoin Square,Yes,Office,One Bowdoin Square,02114," 144,088 ",65.9,85,"2016, 2015","Office, Parking",1972, 713.9 ,5.0," 9,502,089.9 ",68.1%,31.9%,,14.9,,,,0302621000,"2014, 2015, 2016, 2017, "
One Bulfinch,Yes,Office,One Bulfinch PL ,02114," 82,876 ",293.1,Not Available,,Office,1972," 2,008.6 ",24.2," 24,293,415.7 ",91.5%,8.6%,,19.2,,,,302624000,"2017, "
Whittier Place Condos,Yes,Multifamily Housing,Six Whittier Place,02114," 548,844 ",64,62,,Multifamily Housing,1985," 2,205.3 ",4.0," 35,129,829.1 ",29.9%,70.1%,,46.5,,,,0300450000,"2015, 2016, 2017, "
Museum of Science,Yes,Museum,8 Charles River Dam,02114-1099," 460,555 ",119.9,Not Available,,"Museum, Parking",1951," 4,102.2 ",8.9," 55,237,268.2 ",43.7%,3.4%,52.9%,19.5,,"In 2009, the Museum undertook a Detailed Energy Audit (as part of a comprehensive Performance
Contract Initiative) in order to reduce overall energy consumption by 16.27%. Baseline was established as the average over 2 years from April 2007 thru March 2009.  This goal has been surpassed.  The Baseline was also used to establish a 20% reduction by 2020.

Cambridge Building Energy Reporting ID 512-4 & 512-2

Water bills for 2015 only available through 11/30/15 next meter read not scheduled until April 30th 2016",,0301290002,"2014, 2015, 2016, 2017, "
1 Palace Rd-collegeUniversity,Yes,College/University,1 Palace Rd,02115," 110,327 ",107.2,Not Available,,College/University,1995," 1,010.5 ",9.2," 11,826,630.5 ",100.0%,,,,,,,0401844000,"2015, 2016, 2017, "
10 Coventry Street,Yes,College/University,10 Coventry Street,02115," 69,739 ",39.1,Not Available,,College/University,2004, 193.8 ,2.8," 2,724,332.9 ",55.7%,44.3%,,25.1,,,,901381010,"2014, 2015, 2016, 2017, "
FARRAGUT,Municipal ,K-12 School,10 Fenwood Rd.,02115," 35,055 ",47.8,97,,K-12 School,1904, 101.7 ,2.9," 1,676,101.3 ",23.4%,76.6%,,,,,,1000269000,"2016, 2017, "
Countway,Yes,Library,10 Shattuck St,02115," 162,771 ",182.3,Not Available,,Library,1963," 1,974.7 ",12.1," 29,665,212.6 ",24.0%,,43.8%,7.2,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000,"2014, 2015, 2016, 2017, "
Morville House: 100 Norway Street,Yes,Multifamily Housing,100 Norway Street,02115," 152,987 ",67.6,77,,Multifamily Housing,1972, 637.3 ,4.2," 10,339,940.5 ",26.4%,73.6%,,36.1,,,,401452000,"2017, "
Vanderbilt Hall,Yes,Residence Hall/Dormitory,107 Avenue Louis Pasteur,02115," 165,820 ",108.6,52,,Residence Hall/Dormitory,1927," 1,257.9 ",7.6," 18,001,161.9 ",25.9%,,63.5%,23.9,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401850000,"2014, 2015, 2016, 2017, "
11 Tetlow Street - Tetlow Realty Associates,Yes,Multifamily Housing,11 Tetlow Street,02115," 21,779 ",1.7,Not Available,,Multifamily Housing,1918, 2.0 ,0.1," 37,996.9 ",,100.0%,,10.2,,,,401834000,"2017, "
International Village,Yes,College/University,1155-1175 Tremont Street,02115," 495,301 ",78,Not Available,,College/University,2009," 2,718.2 ",5.5," 38,623,591.5 ",53.4%,46.6%,,35.1,,,,"902704040, 902704050","2014, 2015, 2016, 2017, "
XII Stoneholm Condominium Trust,Yes,Multifamily Housing,12 Stoneholm St,02115," 118,301 ",25.8,99,,Multifamily Housing,1900, 260.8 ,2.2," 3,052,197.8 ",100.0%,,,30.4,,,,0401404000,"2015, 2016, 2017, "
Pizzi Family Trust,Yes,Other - Lodging/Residential,121 St Stephen St,02115," 30,645 ",Not Available,Not Available,,Other - Lodging/Residential,1899, -   ,Not Available, Not Available ,,,,,,,,401673000,"2017, "
1249 Boylston Street,Yes,Mixed Use Property,1249 Boylston Street,02115," 37,495 ",89.9,Not Available,,"Office, Retail Store",1950, 256.3 ,6.8," 3,369,655.4 ",71.0%,29.0%,,4.5,,,,504205000,"2016, 2017, "
"Asian,Kennedy,Smith Campus",Yes,College/University,"125,129,131 Hemenway street",02115," 110,798 ",79.6,Not Available,,College/University,1903, 531.2 ,4.8," 8,817,574.6 ",22.1%,77.9%,,35.3,,,,"401728000, 401725000, 401726000, 401724000","2014, 2015, 2016, 2017, "
140 The Fenway,Yes,College/University,140 The Fenway,02115," 148,145 ",186.3,Not Available,,College/University,1912," 1,939.2 ",13.1," 27,597,902.3 ",53.1%,46.9%,,18.3,,,,401706000,"2014, 2015, 2016, 2017, "
Sophine LPS,Yes,Multifamily Housing,150 Huntington Avenue,02115," 287,281 ",Not Available,Not Available,,"Multifamily Housing, Parking",1980, Not Available ,Not Available, Not Available ,,,,,,,,0400864000,"2015, 2016, 2017, "
Saint Botolph,Yes,Multifamily Housing,150 Saint Botolph Street,02115," 102,004 ",75.4,59,,Multifamily Housing,1920, 474.7 ,4.7," 7,687,811.7 ",26.7%,73.3%,,55.2,,,,0402385000,"2016, 2017, "
"Residences at Copley Place, The",Yes,Multifamily Housing,16 Harcourt Street,02115," 157,450 ",30.4,80,,Multifamily Housing,1900, 408.3 ,2.6," 4,778,772.2 ",100.0%,,,17.3,,,,0400985010,"2015, 2016, 2017, "
16 Westland Avenue,Yes,Multifamily Housing,16 Westland Ave,02115," 30,702 ",81.5,87,,Multifamily Housing,1910, 146.6 ,4.8," 2,502,383.9 ",16.9%,83.1%,,55.6,,,,0401521000,"2015, 2016, 2017, "
Loftman Hall,Voluntary,College/University,"163, 157, 153 Hemenway Street",02115," 53,219 ",37.8,Not Available,,College/University,1909, 120.7 ,2.3," 2,011,374.5 ",21.3%,78.7%,,12.7,,,,"401730000, 401731000, 401732000","2014, 2015, 2016, 2017, "
177 Huntington Ave.,Yes,Office,177 Huntington Ave.,02115," 247,733 ",146.2,44,2014,Office,1972," 2,630.6 ",10.6," 36,219,268.2 ",32.7%,,67.3%,21.1,,,,0401150010,"2014, 2015, 2016, 2017, "
177 Longwood Ave Dorms-collegeUniversity,Yes,College/University,177 Longwood Ave Dorms,02115," 95,631 ",65.4,Not Available,,College/University,1995, 534.3 ,5.6," 6,253,003.5 ",100.0%,,,23.7,,,,0401844000,"2015, 2016, 2017, "
179 Longwood Ave-collegeUniversity,Yes,College/University,179 Longwood Ave,02115," 347,844 ",Not Available,Not Available,,College/University,1995, Not Available ,Not Available, Not Available ,,,,,,,,0401844000,"2015, 2016, 2017, "
Fenway Triangle Trilogy,Yes,Multifamily Housing,180 Brookline Ave,02115," 469,624 ",84.1,Not Available,,"Bank Branch, Food Sales, Multifamily Housing, Parking, Retail Store",2006," 2,799.6 ",6.0," 39,508,187.1 ",54.9%,45.1%,,52.7,,Parcel ID 2100051014,,2100051014,"2015, 2016, 2017, "
180 Longwood,Yes,Other,180 Longwood,02115," 61,540 ",138.7,Not Available,,Other,1920, 611.2 ,9.9," 8,538,318.6 ",36.2%,,51.3%,8.6,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies Steam and Chilled Water for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.  NSTAR provides electrical service.",,0401872000,"2014, 2015, 2016, 2017, "
184-190 Commonwealth Ave,Yes,Multifamily Housing,184-190 Commonwealth Ave,02115," 44,432 ",76.4,64,,Multifamily Housing,1891, 203.2 ,4.6," 3,394,224.8 ",20.8%,79.2%,,36.0,,,,501380000,"2017, "
School of Dental Medicine,Yes,Medical Office,188 Longwood Ave,02115," 40,251 ",218,7,,Medical Office,1909, 605.9 ,15.1," 8,775,618.2 ",29.4%,0.2%,49.0%,34.6,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000,"2015, 2016, 2017, "
New Dental Research Building,Yes,Laboratory,190 Longwood Ave,02115," 70,298 ",313.3,Not Available,,Laboratory,2005," 1,459.5 ",20.8," 22,021,909.9 ",20.0%,0.0%,51.4%,13.3,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000,"2014, 2015, 2016, 2017, "
Charlesgate West Associates,Yes,Office,2 Charlesgate West,02115," 46,916 ",52.7,94,,"Office, Parking",1978, 169.5 ,3.6," 2,471,894.5 ",47.8%,52.2%,,2.7,,,,0504176001,"2016, 2017, "
FIFIELD,Municipal ,K-12 School,20 Dunbar,02115," 31,654 ",60.1,95,,K-12 School,1916, 110.4 ,3.5," 1,903,742.5 ",15.1%,84.9%,,4.4,,,,1701736000,"2016, 2017, "
Museum of Fine Arts Parking Garage,Yes,Parking,20 Museum Rd,02115," 163,000 ",5.7,Not Available,,Parking,1987, 79.6 ,0.5," 931,203.1 ",100.0%,,,0.3,,,,0401808000,"2014, 2016, 2017, "
Warren Alpert (WAB),Yes,Laboratory,200 Longwood Ave,02115," 199,440 ",440.6,Not Available,,"Laboratory, Parking",1992," 6,032.6 ",30.2," 87,874,502.1 ",28.5%,0.3%,48.4%,91.2,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. WAB building operates a 24/7 critical environment laboratory for scientific research.  ",,0401882000,"2014, 2015, 2016, 2017, "
Armenise,Yes,Laboratory,210 Longwood Ave,02115," 133,645 ",193,Not Available,,Laboratory,1905," 1,748.9 ",13.1," 25,792,638.5 ",31.0%,,36.1%,57.9,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered",,0401882000,"2014, 2015, 2016, 2017, "
The Midtown Hotel,Yes,Hotel,220 Huntington Avenue,02115," 98,468 ",68.5,93,,"Hotel, Parking, Swimming Pool",1961, 487.5 ,5.0," 6,746,586.9 ",36.3%,28.6%,,68.4,,,,0402304000,"2014, 2015, 2016, 2017, "
Goldenson,Yes,Laboratory,220 Longwood,02115," 133,445 ",225.7,Not Available,,Laboratory,1905," 2,066.9 ",15.5," 30,119,587.5 ",30.4%,0.1%,43.7%,23.5,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. Gas Meter is labeled for 230 Longwood Ave. ",,0401882000,"2014, 2015, 2016, 2017, "
Church Park Apartments,Yes,Multifamily Housing,221 Massachusetts Avenue,02115," 650,000 ",54.8,73,,Multifamily Housing,1973," 2,342.5 ",3.6," 35,632,957.6 ",39.1%,60.9%,,21.6,,,,0401425000,"2016, 2017, "
School of the Museum of Fine Arts,Yes,Other - Education,230 The Fenway,02115," 110,000 ",47.1,Not Available,,Other - Education,1987, 422.7 ,3.8," 5,186,329.6 ",87.8%,12.2%,,8.4,,,,0401806000,"2014, 2016, 2017, "
C Building,Yes,Laboratory,240 Longwood,02115," 136,368 ",210.8,Not Available,,Laboratory,1905," 1,999.9 ",14.7," 28,746,311.8 ",45.5%,0.0%,14.4%,46.1,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.",,0401882000,"2014, 2015, 2016, 2017, "
241 St. Botolph,Yes,College/University,241 St. Botolph Street,02115," 60,000 ",63.7,Not Available,,College/University,1905, 252.3 ,4.2," 3,820,085.1 ",40.0%,60.0%,,9.8,,,,402281000,"2016, 2017, "
BrentonCorpLLC,Yes,Mixed Use Property,242-260 East Berkeley Street,02115," 52,520 ",15.7,Not Available,,"Bar/Nightclub, Manufacturing/Industrial Plant, Office, Restaurant",1880, 70.4 ,1.3," 823,626.1 ",100.0%,,,16.1,,,,"306602000, 306601000","2014, 2015, 2016, 2017, "
Isabella Stewart Gardner Museum,Yes,Museum,25 Evans Way,02115," 70,000 ",154.3,Not Available,,Museum,2011, 842.7 ,12.0," 10,804,451.5 ",77.0%,23.0%,,47.9,,,,"401836000, 401838000, 401839000, 401840000","2014, 2015, 2016, 2017, "
Gordon Hall,Yes,Office,25 Shattuck St,02115," 72,877 ",144,4,,Office,1905, 787.6 ,10.8," 10,493,400.4 ",59.9%,,20.1%,1.7,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000,"2014, 2015, 2016, 2017, "
Seeley Mudd,Yes,Laboratory,250 Longwood,02115," 91,622 ",432.4,Not Available,,Laboratory,1977," 2,701.7 ",29.5," 39,620,250.3 ",27.9%,0.0%,46.3%,16.5,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. Seeley Mudd building operates a 24/7 critical environment laboratory for scientfic research.  ",,0401882000,"2014, 2015, 2016, 2017, "
Hemenway Park Drive LLC,Yes,Multifamily Housing,26 Hemenway Street,02115," 87,320 ",Not Available,Not Available,,Multifamily Housing,1940, Not Available ,Not Available, Not Available ,,,,,,,,401397000,"2017, "
Tosteson Medical Education Center (TMEC),Yes,College/University,260 Longwood Ave,02115," 180,027 ",221.8,Not Available,,College/University,1905," 2,670.1 ",14.8," 39,937,049.3 ",21.0%,0.0%,53.2%,0.6,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",,0401882000,"2014, 2015, 2016, 2017, "
Huntington Plaza,Yes,Mixed Use Property,263-289 Huntington Avenue,02115," 87,751 ",132.4,60,,"Office, Restaurant, Retail Store",1927, 822.8 ,9.4," 11,618,740.6 ",54.8%,45.2%,,42.1,,"263	Huntington Ave	0401484000
281   Huntington Ave  0401485000 
	
",,0401484,"2016, 2017, "
Isabella Stewart Gardner Museum,Yes,Museum,280 the Fenway,02115," 63,000 ",96.2,Not Available,,Museum,1903, 364.1 ,5.8," 6,058,531.8 ",21.6%,78.4%,,,,The water used in this building is metered through building identified as Portfolio Manager Property ID: 4040564. We only have one water main for the entire campus. ,,401837000,"2014, 2015, 2016, 2017, "
Jordan Hall,Yes,College/University,290 Huntington Ave,02115," 143,000 ",65.8,Not Available,,College/University,1867, 634.5 ,4.4," 9,405,965.4 ",44.4%,55.6%,,10.3,,,,402246001,"2016, 2017, "
BMR-Blackfan Circle LLC,Yes,Laboratory,3 Blackfan Circle,02115," 761,369 ",435.5,Not Available,,"Laboratory, Parking, Restaurant",2008," 21,833.3 ",28.7," 331,611,604.1 ",39.4%,60.6%,,46.5,,"Number of occupants and number of computers is estimated.
The parking garage under the building is included in the whole building electricity data and uses an estimated 356,000 kWh per year. The parking garage is also a condominium and is lot number 0401853020.",,0401853022,"2014, 2015, 2016, 2017, "
Norway Housing: Norway - Hemenway,Voluntary,Multifamily Housing,30 Hemenway Street,02115," 31,104 ",86.6,68,,Multifamily Housing,1978, 203.7 ,6.6," 2,693,336.6 ",20.1%,3.9%,,41.6,,30 Hemenway Parcel ID 0401396000 not on CBL but has more than 35 apartments.,,401396000,"2017, "
Boston Children's Hospital,Yes,Other - Specialty Hospital,300 Longwood Ave,02115," 2,264,503 ",484,Not Available,,"Other, Other - Specialty Hospital, Parking",1914," 74,798.1 ",33.0," 1,095,909,779.2 ",22.3%,,47.4%,25.1,,"Boston Children's Hospital is composed of numerous buildings constructed between 1914 through 2015. This is as of May 1, 2015

CHB MAIN property increased sq ft during 2014 by 117,345,  this is included in the total sq ft for CHB MAIN",,"401851000, 401853100, 401870000, 401886000, 401894000, 401895000, 401990000","2014, 2015, 2016, 2017, "
Horticultural Hall,Yes,Office,300 Mass AVe,02115," 65,700 ",45.6,80,,Office,1901, 256.2 ,3.9," 2,997,979.8 ",100.0%,,,9.7,,,,401160000,"2016, 2017, "
Academic Campus,Yes,College/University,300 The Fenway,02115," 551,300 ",139.4,Not Available,,"College/University, Parking",1904," 4,857.4 ",8.8," 76,835,503.4 ",42.9%,57.1%,,16.5,,,,0401842000,"2017, "
BB/OP/12SS: 31 Burbank Street,Yes,Multifamily Housing,31 Burbank Street,02115," 40,461 ",83.1,74,,Multifamily Housing,1899, 197.5 ,4.9," 3,361,452.5 ",17.5%,82.5%,,41.9,,,,401440000,"2017, "
YMCA of Greater Boston - Huntington,Yes,Fitness Center/Health Club/Gym,316 Huntington Avenue,02115," 100,961 ",191.8,Not Available,,"Fitness Center/Health Club/Gym, Swimming Pool",2014," 1,230.4 ",12.2," 19,359,876.6 ",32.3%,67.7%,,68.7,,"Renovations were completed in October 2014. The property was fully operational during the 2014 calendar year. Energy usage for shared facilities with Northeastern University was split accordingly.

Energy meter ""Natural Grid Gas 430"" contains estimated values due to billing covering more than one period. Monthly consumption was distributed evenly among the billing periods.

Energy meters ""Boston Water & Sewer Commission 00"" and ""Boston Water & Sewer Commission 02"" contain estimated values due to a reversal in the monthly consumption billed.",,0402245045 0402245042,"2015, 2016, 2017, "
Boston Architectural College,Yes,Office,320 Newbury Street,02115," 49,494 ",121.4,71,,Office,1965, 442.6 ,8.9," 6,007,457.9 ",47.1%,12.7%,40.1%,14.9,,,,0503062000,"2016, 2017, "
Merck MRL Boston,Yes,Laboratory,33 Avenue Louis PAsteur,02115," 405,163 ",429.3,Not Available,,"Laboratory, Parking",2004," 12,749.3 ",31.5," 173,930,775.6 ",36.4%,0.3%,63.3%,39.7,,,,401847020,"2014, 2015, 2016, 2017, "
Residence Hall,Yes,College/University,33 Gainsborough Street,02115," 54,000 ",128.8,Not Available,,College/University,1956, 411.0 ,7.6," 6,953,689.0 ",18.5%,81.5%,,35.9,,,,402282000,"2016, 2017, "
333 Longwood,Yes,Office,333 Longwood Avenue,02115," 99,645 ",104,75,2011,"Financial Office, Office, Parking, Retail Store",1989, 767.3 ,7.7," 10,363,905.5 ",65.2%,,,11.2,,,,01855-000,"2014, 2016, 2017, "
Symphony West: 333 Massachusetts Ave,Yes,Multifamily Housing,333 Massachusetts Ave,02115," 174,779 ",71.5,52,,Multifamily Housing,1978, 826.8 ,4.7," 12,491,157.0 ",40.5%,59.5%,,36.2,,,,0402277000,"2016, 2017, "
Symphony East: 334 Massachusetts Ave,Yes,Multifamily Housing,334 Massachusetts Ave,02115," 154,105 ",51.4,83,,Multifamily Housing,1978, 546.8 ,3.5," 7,919,019.4 ",49.3%,50.7%,,39.5,,,,0402295000,"2016, 2017, "
337 Huntington Avenue,Yes,College/University,337 Huntington Avenue,02115," 50,023 ",68,Not Available,,College/University,1923, 188.0 ,3.8," 3,403,327.4 ",6.6%,93.4%,,32.4,,,,401679000,"2015, 2016, 2017, "
Feldberg Garage,Yes,Parking,340 Brookline Ave,02115," 159,333 ",4.7,Not Available,,Parking,1975, 70.2 ,0.4," 752,390.4 ",100.0%,,,,,,,401862020,"2014, 2015, 2016, 2017, "
351 Mass Ave,Yes,Multifamily Housing,351 Mass Ave,02115," 46,200 ",115.5,33,,Multifamily Housing,1899, 318.7 ,6.9," 5,338,171.9 ",20.4%,79.6%,,69.5,,,,0402270000,"2015, 2016, 2017, "
Susan Bailis Assisted Living,Yes,Senior Care Community,352 Mass ave,02115," 60,000 ",Not Available,Not Available,,"Parking, Retail Store, Senior Care Community",2003, Not Available ,Not Available, Not Available ,,,,,,,,0402350010,"2015, 2017, "
Northeastern University Big Campus,Yes,College/University,360 Huntington Avenue,02115," 4,699,442 ",142.2,Not Available,,College/University,1956," 44,930.4 ",9.1," 699,902,203.9 ",34.3%,65.7%,,29.7,,,,"401620000, 401676000, 401680000, 401753000, 402128010, 402129000, 402222010, 402236000, 402244010, 402245030, 402245034, 402248000, 402262000, 901340000","2014, 2015, 2016, 2017, "
360 Newbury Condo Trust2,Yes,Multifamily Housing,360 Newbury Street 4th floor,02115," 125,000 ",50.5,34,,Multifamily Housing,1913, 488.6 ,3.9," 6,317,133.0 ",74.9%,25.1%,,19.8,,,,0503045010,"2016, 2017, "
Commonwealth Condominium,Yes,Multifamily Housing,362-366 Commonwealth Ave,02115," 62,000 ",66.3,78,,Multifamily Housing,1889, 247.6 ,4.0," 4,110,532.3 ",22.0%,78.0%,,29.7,,Gross floor area was estimated using the total rentable area plus common areas.,,503015000,"2015, 2016, 2017, "
The MASCO Building,Yes,Office,375 Longwood Avenue,02115," 83,307 ",121.6,Not Available,,"Office, Pre-school/Daycare, Restaurant, Retail Store",1992, 753.2 ,9.0," 10,127,540.7 ",65.7%,34.3%,,22.8,,,,01996100,"2014, 2015, 2016, 2017, "
38 Hemenway,Yes,Multifamily Housing,38 Hemenway Street,02115," 35,100 ",70.3,95,,Multifamily Housing,1920, 144.5 ,4.1," 2,466,743.1 ",16.9%,83.1%,,41.2,,,,0401395000,"2016, 2017, "
Cardinal Cushing Library,Yes,Library,398 The Fenway,02115," 51,782 ",95.9,Not Available,,Library,1964, 333.6 ,6.4," 4,966,107.3 ",43.5%,56.5%,,11.2,,"Main reading room, computer lab, classrooms, faculty and staff office spaces.

Between October 2014 and January 2015, we upgraded 486 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 90,000 kWh in this building.",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401847000,"2014, 2015, 2016, 2017, "
Harvard Institutes of Medicine (HIM),Yes,Laboratory,4 Blackfan St,02115," 295,537 ",451.8,Not Available,,Laboratory,1992," 9,130.7 ",30.9," 133,512,326.8 ",28.9%,0.0%,45.4%,132.3,,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies Steam and Chilled Water for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered.  NSTAR provides electrical service.HIM building operates a 24/7 critical environment laboratory for scientfic research.  ",,0401849000,"2014, 2015, 2016, 2017, "
Bosbh-Boston Hilton Back Bay,Yes,Hotel,40 Dalton Street,02115," 393,752 ",67.7,69,,Hotel,2007," 2,039.5 ",5.2," 26,662,920.2 ",60.4%,10.6%,29.0%,44.2,,,,0401327000,"2015, 2016, 2017, "
TDC III: 400 Mass Ave,Yes,Multifamily Housing,400 Massachusetts Avenue,02115," 60,000 ",44,100,,Multifamily Housing,1990, 151.7 ,2.5," 2,640,289.6 ",13.4%,86.6%,,37.6,,,,0900740000,"2017, "
Administration Building/Wilkens Science Center,Yes,College/University,400 The Fenway,02115," 166,153 ",160.9,Not Available,,"College/University, Data Center, Parking",1919," 1,777.8 ",10.7," 26,734,261.1 ",41.4%,58.6%,,20.3,,"Two buildings sharing utility meters. Building contains classrooms, science labs, office spaces, parking as well as a small dining hall.

Gross square footage includes 56,712 square feet for parking garage.",,0401847000,"2014, 2015, 2016, 2017, "
Julie Hall,Yes,Residence Hall/Dormitory,400 The Fenway,02115," 53,826 ",40.5,98,,Residence Hall/Dormitory,1958, 134.8 ,2.5," 2,182,064.1 ",26.8%,73.2%,,16.2,,"Julie Hall was razed in June 2016. A new residential hall will be built in its place and is scheduled to open August 2018. 

Julie Hall get electricity from MATEP rather than NSTAR.

Between October 2014 and January 2015, we upgraded 144 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 50,000 kWh in this building.",,0401862030,"2014, 2015, 2016, 2017, "
Jean Yawkey Center/Marian Hall,Yes,College/University,400R The Fenway,02115," 87,877 ",191,Not Available,,"College/University, Parking",1954," 1,094.1 ",12.5," 16,782,829.8 ",37.4%,62.6%,,22.1,,"Building contains gymnasium, fitness center, dining hall, classrooms, office spaces and parking.

Gross square footage includes 33,600 square feet for parking garage.

Between October 2014 and January 2015, we upgraded 413 lighting fixtures to the latest LED technology. We expect to see an annual savings of approximately 184,000 kWh in these buildings.",http://www.emmanuel.edu/discover-emmanuel/campus/sustainability/campus-initiatives.html,0401847000,"2014, 2015, 2016, 2017, "
Waldorf Associates LLC,Yes,Multifamily Housing,41 43 Edgerly Road,02115," 21,402 ",Not Available,Not Available,,Multifamily Housing,1921, -   ,0.0, Not Available ,,,,,,,,401409000,"2017, "
